fs_col,fs_description
ST101SV,SV - RightPallidum
ST102CV,CV - RightParacentral
ST102SA,SA - RightParacentral
ST102TA,CT - RightParacentral
ST102TS,CTS - RightParacentral
ST103CV,CV - RightParahippocampal
ST103SA,SA - RightParahippocampal
ST103TA,CT - RightParahippocampal
ST103TS,CTS - RightParahippocampal
ST104CV,CV - RightParsOpercularis
ST104SA,SA - RightParsOpercularis
ST104TA,CT - RightParsOpercularis
ST104TS,CTS - RightParsOpercularis
ST105CV,CV - RightParsOrbitalis
ST105SA,SA - RightParsOrbitalis
ST105TA,CT - RightParsOrbitalis
ST105TS,CTS - RightParsOrbitalis
ST106CV,CV - RightParsTriangularis
ST106SA,SA - RightParsTriangularis
ST106TA,CT - RightParsTriangularis
ST106TS,CTS - RightParsTriangularis
ST107CV,CV - RightPericalcarine
ST107SA,SA - RightPericalcarine
ST107TA,CT - RightPericalcarine
ST107TS,CTS - RightPericalcarine
ST108CV,CV - RightPostcentral
ST108SA,SA - RightPostcentral
ST108TA,CT - RightPostcentral
ST108TS,CTS - RightPostcentral
ST109CV,CV - RightPosteriorCingulate
ST109SA,SA - RightPosteriorCingulate
ST109TA,CT - RightPosteriorCingulate
ST109TS,CTS - RightPosteriorCingulate
ST10CV,CV - Icv
ST110CV,CV - RightPrecentral
ST110SA,SA - RightPrecentral
ST110TA,CT - RightPrecentral
ST110TS,CTS - RightPrecentral
ST111CV,CV - RightPrecuneus
ST111SA,SA - RightPrecuneus
ST111TA,CT - RightPrecuneus
ST111TS,CTS - RightPrecuneus
ST112SV,SV - RightPutamen
ST113CV,CV - RightRostralAnteriorCingulate
ST113SA,SA - RightRostralAnteriorCingulate
ST113TA,CT - RightRostralAnteriorCingulate
ST113TS,CTS - RightRostralAnteriorCingulate
ST114CV,CV - RightRostralMiddleFrontal
ST114SA,SA - RightRostralMiddleFrontal
ST114TA,CT - RightRostralMiddleFrontal
ST114TS,CTS - RightRostralMiddleFrontal
ST115CV,CV - RightSuperiorFrontal
ST115SA,SA - RightSuperiorFrontal
ST115TA,CT - RightSuperiorFrontal
ST115TS,CTS - RightSuperiorFrontal
ST116CV,CV - RightSuperiorParietal
ST116SA,SA - RightSuperiorParietal
ST116TA,CT - RightSuperiorParietal
ST116TS,CTS - RightSuperiorParietal
ST117CV,CV - RightSuperiorTemporal
ST117SA,SA - RightSuperiorTemporal
ST117TA,CT - RightSuperiorTemporal
ST117TS,CTS - RightSuperiorTemporal
ST118CV,CV - RightSupramarginal
ST118SA,SA - RightSupramarginal
ST118TA,CT - RightSupramarginal
ST118TS,CTS - RightSupramarginal
ST119CV,CV - RightTemporalPole
ST119SA,SA - RightTemporalPole
ST119TA,CT - RightTemporalPole
ST119TS,CTS - RightTemporalPole
ST11SV,SV - LeftAccumbensArea
ST120SV,SV - RightThalamus
ST121CV,CV - RightTransverseTemporal
ST121SA,SA - RightTransverseTemporal
ST121TA,CT - RightTransverseTemporal
ST121TS,CTS - RightTransverseTemporal
ST124SV,SV - RightVentralDC
ST125SV,SV - RightVessel
ST127SV,SV - ThirdVentricle
ST128SV,SV - WMHypoIntensities
ST129CV,CV - LeftInsula
ST129SA,SA - LeftInsula
ST129TA,CT - LeftInsula
ST129TS,CTS - LeftInsula
ST12SV,SV - LeftAmygdala
ST130CV,CV - RightInsula
ST130SA,SA - RightInsula
ST130TA,CT - RightInsula
ST130TS,CTS - RightInsula
ST13CV,CV - LeftBankssts
ST13SA,SA - LeftBankssts
ST13TA,CT - LeftBankssts
ST13TS,CTS - LeftBankssts
ST14CV,CV - LeftCaudalAnteriorCingulate
ST14SA,SA - LeftCaudalAnteriorCingulate
ST14TA,CT - LeftCaudalAnteriorCingulate
ST14TS,CTS - LeftCaudalAnteriorCingulate
ST15CV,CV - LeftCaudalMiddleFrontal
ST15SA,SA - LeftCaudalMiddleFrontal
ST15TA,CT - LeftCaudalMiddleFrontal
ST15TS,CTS - LeftCaudalMiddleFrontal
ST16SV,SV - LeftCaudate
ST17SV,SV - LeftCerebellumCortex
ST18SV,SV - LeftCerebellumWM
ST1SV,SV - Brainstem
ST21SV,SV - LeftChoroidPlexus
ST23CV,CV - LeftCuneus
ST23SA,SA - LeftCuneus
ST23TA,CT - LeftCuneus
ST23TS,CTS - LeftCuneus
ST24CV,CV - LeftEntorhinal
ST24SA,SA - LeftEntorhinal
ST24TA,CT - LeftEntorhinal
ST24TS,CTS - LeftEntorhinal
ST25CV,CV - LeftFrontalPole
ST25SA,SA - LeftFrontalPole
ST25TA,CT - LeftFrontalPole
ST25TS,CTS - LeftFrontalPole
ST26CV,CV - LeftFusiform
ST26SA,SA - LeftFusiform
ST26TA,CT - LeftFusiform
ST26TS,CTS - LeftFusiform
ST28SA,SA -  (aparc.stats) of LeftHemisphereWM
ST29SV,SV - LeftHippocampus
ST2SV,SV - CorpusCallosumAnterior
ST30SV,SV - LeftInferiorLateralVentricle
ST31CV,CV - LeftInferiorParietal
ST31SA,SA - LeftInferiorParietal
ST31TA,CT - LeftInferiorParietal
ST31TS,CTS - LeftInferiorParietal
ST32CV,CV - LeftInferiorTemporal
ST32SA,SA - LeftInferiorTemporal
ST32TA,CT - LeftInferiorTemporal
ST32TS,CTS - LeftInferiorTemporal
ST34CV,CV - LeftIsthmusCingulate
ST34SA,SA - LeftIsthmusCingulate
ST34TA,CT - LeftIsthmusCingulate
ST34TS,CTS - LeftIsthmusCingulate
ST35CV,CV - LeftLateralOccipital
ST35SA,SA - LeftLateralOccipital
ST35TA,CT - LeftLateralOccipital
ST35TS,CTS - LeftLateralOccipital
ST36CV,CV - LeftLateralOrbitofrontal
ST36SA,SA - LeftLateralOrbitofrontal
ST36TA,CT - LeftLateralOrbitofrontal
ST36TS,CTS - LeftLateralOrbitofrontal
ST37SV,SV - LeftLateralVentricle
ST38CV,CV - LeftLingual
ST38SA,SA - LeftLingual
ST38TA,CT - LeftLingual
ST38TS,CTS - LeftLingual
ST39CV,CV - LeftMedialOrbitofrontal
ST39SA,SA - LeftMedialOrbitofrontal
ST39TA,CT - LeftMedialOrbitofrontal
ST39TS,CTS - LeftMedialOrbitofrontal
ST3SV,SV - CorpusCallosumCentral
ST40CV,CV - LeftMiddleTemporal
ST40SA,SA - LeftMiddleTemporal
ST40TA,CT - LeftMiddleTemporal
ST40TS,CTS - LeftMiddleTemporal
ST42SV,SV - LeftPallidum
ST43CV,CV - LeftParacentral
ST43SA,SA - LeftParacentral
ST43TA,CT - LeftParacentral
