feature,selected_count,selection_frequency,variance_dropped_count,variance_dropped_fraction,correlation_dropped_count,correlation_dropped_fraction,total_dropped_count,total_dropped_fraction,shap_class0_all_folds,shap_class0_selected_only,shap_class1_all_folds,shap_class1_selected_only,shap_balanced_all_folds,shap_balanced_selected_only,permutation_f1_all_folds,permutation_f1_selected_only,permutation_balanced_acc_all_folds,permutation_balanced_acc_selected_only,permutation_pr_auc_all_folds,permutation_pr_auc_selected_only
ADAS13,23,0.92,0,0.0,2,0.08,2,0.08,0.06607490375000405,0.07182054755435222,0.09018849682603346,0.09803097481090593,0.07813170028801875,0.08492576118262907,0.0376250839191636,0.040896830346916956,0.04153052163642486,0.045141871343940064,0.05242673213712746,0.056985578409921155
FAQ,25,1.0,0,0.0,0,0.0,0,0.0,0.06668900927405831,0.06668900927405831,0.08405447297378812,0.08405447297378812,0.07537174112392322,0.07537174112392322,0.030643475664236672,0.030643475664236672,0.034085249059074,0.034085249059074,0.04460115019355116,0.04460115019355116
CDRSB,25,1.0,0,0.0,0,0.0,0,0.0,0.041907002618405034,0.041907002618405034,0.05738815335216789,0.05738815335216789,0.04964757798528646,0.04964757798528646,0.015815108518233815,0.015815108518233815,0.018249663894389527,0.018249663894389527,0.02049965060283125,0.02049965060283125
APOE4,25,1.0,0,0.0,0,0.0,0,0.0,0.02910077995055825,0.02910077995055825,0.03980603186576916,0.03980603186576916,0.0344534059081637,0.0344534059081637,0.01120491713581591,0.01120491713581591,0.011279677748124682,0.011279677748124682,0.017094928128479635,0.017094928128479635
MMSE,25,1.0,0,0.0,0,0.0,0,0.0,0.027511970748334544,0.027511970748334544,0.03488981874969172,0.03488981874969172,0.031200894749013133,0.031200894749013133,0.005216919333252183,0.005216919333252183,0.006409783635938862,0.006409783635938862,0.01045994167495122,0.01045994167495122
ADAS11,25,1.0,0,0.0,0,0.0,0,0.0,0.016961547861041162,0.016961547861041162,0.02061791790824517,0.02061791790824517,0.018789732884643168,0.018789732884643168,0.004271321700142688,0.004271321700142688,0.0048439684225714714,0.0048439684225714714,0.0050626425750188485,0.0050626425750188485
SV - LeftInferiorLateralVentricle,23,0.92,0,0.0,0,0.0,0,0.0,0.013113630081798076,0.014253945741084864,0.016145094246595187,0.017549015485429552,0.014629362164196632,0.015901480613257208,0.002899366982648495,0.003151485850704886,0.003229839891014945,0.0035106955337118966,0.005927190673470227,0.006442598558119812
SV - LeftHippocampus,25,1.0,0,0.0,0,0.0,0,0.0,0.010205457636500713,0.010205457636500713,0.012056542772491524,0.012056542772491524,0.011131000204496118,0.011131000204496118,1.3440481345563665e-05,1.3440481345563665e-05,0.0005369474798031011,0.0005369474798031011,0.00023250604287919152,0.00023250604287919152
CT - LeftInferiorParietal,24,0.96,0,0.0,0,0.0,0,0.0,0.006412135775121258,0.006679308099084644,0.008926714498924689,0.009298660936379885,0.007669425137022973,0.007988984517732264,-0.001141044123220085,-0.0011885876283542554,-0.0011973040033835469,-0.0012471916701911946,0.00037807940562086364,0.0003938327141883996
CV - RightInferiorParietal,14,0.56,0,0.0,0,0.0,0,0.0,0.0037649722828717457,0.006723164790842403,0.006443721470560401,0.011506645483143573,0.005104346876716073,0.009114905136992988,-0.0002760999246873024,-0.0004930355797987542,-0.00042732408814979056,-0.0007630787288389117,0.0003573415904348058,0.0006381099829192961
PTEDUCAT,16,0.64,0,0.0,0,0.0,0,0.0,0.0032433750270119944,0.005067773479706241,0.0046610545771211456,0.00728289777675179,0.00395221480206657,0.006175335628229015,0.0007019975115524834,0.0010968711118007554,0.000604589846218538,0.0009446716347164657,0.001325873915222413,0.0020716779925350204
SV - LeftAmygdala,21,0.84,0,0.0,0,0.0,0,0.0,0.0033366173654676558,0.003972163530318638,0.0031287525475325786,0.00372470541372926,0.0032326849565001174,0.003848434472023949,-0.0003068934542153321,-0.0003653493502563477,-3.470236191500123e-05,-4.13123356130967e-05,-3.4133897298869335e-05,-4.063559202246349e-05
CT - LeftBankssts,21,0.84,0,0.0,0,0.0,0,0.0,0.00283970727871508,0.0033806039032322384,0.0036014861869484664,0.004287483555891032,0.003220596732831773,0.003834043729561635,-0.0002371171542440778,-0.000282282326481045,4.406114829341029e-06,5.245374796834558e-06,-0.0005024208671167113,-0.0005981200799008467
SV - RightHippocampus,25,1.0,0,0.0,0,0.0,0,0.0,0.002667781589133869,0.002667781589133869,0.0034072682357729205,0.0034072682357729205,0.0030375249124533947,0.0030375249124533947,-0.0006249788766995413,-0.0006249788766995413,-0.00047466486416766334,-0.00047466486416766334,-0.0006631115545052808,-0.0006631115545052808
CT - LeftMiddleTemporal,22,0.88,0,0.0,0,0.0,0,0.0,0.0021005674577437754,0.0023870084747088355,0.003130649035681768,0.003557555722365645,0.002615608246712772,0.0029722820985372406,-0.0008258530519055028,-0.0009384693771653441,-0.0007266621822470657,-0.0008257524798262111,-0.0011319040370508398,-0.0012862545875577725
SV - RightInferiorLateralVentricle,15,0.6,0,0.0,0,0.0,0,0.0,0.002475201586173345,0.004125335976955575,0.0023306991985588676,0.0038844986642647796,0.0024029503923661062,0.0040049173206101775,5.907780084552696e-05,9.84630014092116e-05,0.00016134840255452616,0.00026891400425754357,-0.00045671661161470443,-0.0007611943526911741
CV - LeftBankssts,9,0.36,0,0.0,0,0.0,0,0.0,0.0020448389687634256,0.005680108246565071,0.002695546509633669,0.007487629193426858,0.002370192739198547,0.006583868719995964,6.9664763308125e-05,0.00019351323141145833,-3.219615498260498e-05,-8.943376384056939e-05,5.3870200094813925e-05,0.00014963944470781646
CT - LeftInferiorTemporal,22,0.88,0,0.0,0,0.0,0,0.0,0.0018094076273625689,0.002056145031093828,0.0029137435691863637,0.0033110722377117773,0.0023615755982744663,0.0026836086344028025,-0.000721512766922434,-0.0008199008715027659,-0.0007548739928436305,-0.0008578113555041257,-0.001274478241665953,-0.0014482707291658557
CT - RightInferiorParietal,24,0.96,0,0.0,0,0.0,0,0.0,0.001173726415574529,0.0012226316828901343,0.00336033817883781,0.0035003522696227187,0.0022670322972061694,0.0023614919762564267,-0.00043162519978684114,-0.0004496095831112929,-0.0006541914058311393,-0.0006814493810741035,0.0008010970467107306,0.0008344760903236777
CV - LeftMiddleTemporal,17,0.68,0,0.0,0,0.0,0,0.0,0.002059733574981318,0.0030290199632078203,0.002416812417140316,0.0035541359075592885,0.002238272996060817,0.0032915779353835544,-9.0041088367631e-05,-0.00013241336524651617,0.00019299662856993332,0.00028381857142637255,-0.0004070460140488903,-0.0005985970794836622
CT - RightEntorhinal,22,0.88,0,0.0,0,0.0,0,0.0,0.0021329145190383285,0.002423766498907191,0.00218738119121721,0.0024856604445650113,0.0021601478551277692,0.0024547134717361014,0.0005342596197570724,0.0006071132042694005,0.0005648944180470986,0.000641925475053521,-0.0006996864642696116,-0.0007950982548518313
SV - RightAmygdala,20,0.8,0,0.0,0,0.0,0,0.0,0.0022307326344210925,0.0027884157930263653,0.002057216097898452,0.002571520122373065,0.0021439743661597725,0.0026799679576997152,0.00017931429864882114,0.0002241428733110264,0.00043509394103514093,0.0005438674262939261,-0.0004493325786219311,-0.0005616657232774139
CT - LeftFusiform,19,0.76,0,0.0,0,0.0,0,0.0,0.0013631878655887485,0.0017936682441957218,0.0021968444623505384,0.0028905848188822874,0.0017800161639696436,0.0023421265315390046,-0.0002371769345426371,-0.0003120749138718909,-0.00018672620111308199,-0.0002456923698856342,-6.9388612510706475e-06,-9.13008059351401e-06
CV - LeftInferiorParietal,14,0.56,0,0.0,0,0.0,0,0.0,0.0006561983248515392,0.0011717827229491772,0.0016303883079847432,0.0029114076928298985,0.0011432933164181411,0.002041595207889538,-0.0007750637924679346,-0.0013840424865498833,-0.0007185774822607398,-0.0012831740754656068,0.0009343239437853096,0.0016684356139023385
CT - RightPrecuneus,19,0.76,0,0.0,0,0.0,0,0.0,0.0011960359617234934,0.001573731528583544,0.0005562626882127856,0.0007319245897536652,0.0008761493249681395,0.0011528280591686045,-0.0005682873793228494,-0.0007477465517405913,-0.0005640511278484913,-0.0007421725366427518,-0.0008067240524071488,-0.001061479016325196
CT - RightFusiform,25,1.0,0,0.0,0,0.0,0,0.0,0.0007091835682751621,0.0007091835682751621,0.0009768557792387202,0.0009768557792387202,0.0008430196737569412,0.0008430196737569412,-0.0007389481643317281,-0.0007389481643317281,-0.0006038176950904451,-0.0006038176950904451,-0.0001490060925737381,-0.0001490060925737381
